country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/23/20,-83,-43,-67,-75,-44,17,30.65,8.89,10.32
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/24/20,-78,-34,-29,-70,-41,11,33.82,9.99,15.23
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/25/20,-81,-48,-30,-80,-80,26,32.03,10.05,14.32
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/26/20,-77,-37,-32,-72,-69,25,36.65,11.6,15.2
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/27/20,-77,-36,-32,-72,-69,26,37.29,11.53,14.99
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/28/20,-78,-36,-45,-73,-70,27,36.24,11.07,13.79
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/29/20,-79,-38,-49,-72,-68,27,40.02,11.69,15.85
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/30/20,-76,-27,-15,-66,-30,11,42.63,12.83,20.11
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/31/20,-77,-33,-26,-67,-32,11,36.36,10.91,17.72
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/1/20,-76,-38,-42,-71,-68,25,40.16,12.52,18.29
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/2/20,-78,-38,-38,-72,-69,27,38.23,14.19,18.71
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/3/20,-79,-40,-47,-73,-69,27,32.66,10.92,12.03
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/4/20,-78,-35,-36,-72,-68,26,37.28,12.41,14.9
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/5/20,-80,-41,-60,-73,-67,28,37.76,12.14,13.27
