month,state,county,date,driving,transit,walking
Mar,New York,BROOKLYN,2020/3/23,-58.28,-79.62,-72.47
Mar,New York,MANHATTAN,2020/3/23,-81.67,-92.38,-93.31
Mar,New York,QUEENS,2020/3/23,-61.38,-81.12,-68.28
Mar,New York,STATEN ISLAND,2020/3/23,-57.56,-74.35,-48.94
Mar,New York,BRONX,2020/3/24,-50.62,-70.88,-49.59
Mar,New York,BROOKLYN,2020/3/24,-52.38,-78.01,-58.14
Mar,New York,MANHATTAN,2020/3/24,-80.37,-91.91,-91.1
Mar,New York,QUEENS,2020/3/24,-57.03,-80.07,-56.39
Mar,New York,STATEN ISLAND,2020/3/24,-50.85,-73.22,-36.74
Mar,New York,BRONX,2020/3/25,-52.49,-73.18,-53.8
Mar,New York,BROOKLYN,2020/3/25,-55.2,-79.57,-66.6
Mar,New York,MANHATTAN,2020/3/25,-81.46,-92.48,-92.73
Mar,New York,QUEENS,2020/3/25,-59.99,-81.35,-64.97
Mar,New York,STATEN ISLAND,2020/3/25,-53.86,-75.29,-46.01
Mar,New York,BRONX,2020/3/26,-49.26,-71.52,-48.38
Mar,New York,BROOKLYN,2020/3/26,-51.53,-78.75,-58.62
Mar,New York,MANHATTAN,2020/3/26,-80.39,-92,-91.28
Mar,New York,QUEENS,2020/3/26,-57.06,-80.98,-57.12
Mar,New York,STATEN ISLAND,2020/3/26,-48.91,-73.94,-34.06
Mar,New York,BRONX,2020/3/27,-42.75,-69.79,-42.47
Mar,New York,BROOKLYN,2020/3/27,-47.53,-77.55,-53.37
Mar,New York,MANHATTAN,2020/3/27,-78.13,-90.75,-89.71
Mar,New York,QUEENS,2020/3/27,-53.48,-80.85,-54.77
Mar,New York,STATEN ISLAND,2020/3/27,-42.05,-73.34,-20.36
Mar,New York,BRONX,2020/3/28,-55.47,-77.42,-56.79
Mar,New York,BROOKLYN,2020/3/28,-58.57,-82.36,-69.17
Mar,New York,MANHATTAN,2020/3/28,-82.2,-93.01,-93.31
Mar,New York,QUEENS,2020/3/28,-63.4,-84.63,-67.23
Mar,New York,STATEN ISLAND,2020/3/28,-54.08,-81.14,-41.71
Mar,New York,BRONX,2020/3/29,-62.58,-77.82,-63.19
Mar,New York,BROOKLYN,2020/3/29,-63.96,-83.38,-71.65
Mar,New York,MANHATTAN,2020/3/29,-84.46,-93.48,-94.12
Mar,New York,QUEENS,2020/3/29,-68.81,-85.43,-70.41
Mar,New York,STATEN ISLAND,2020/3/29,-62.41,-80.21,-50.27
Mar,New York,BRONX,2020/3/30,-51.58,-72.91,-52.57
Mar,New York,BROOKLYN,2020/3/30,-55.03,-79.85,-64.22
Mar,New York,MANHATTAN,2020/3/30,-81.51,-92.24,-92.14
Mar,New York,QUEENS,2020/3/30,-60.32,-81.83,-61.58
Mar,New York,STATEN ISLAND,2020/3/30,-54.33,-75.49,-46.83
Mar,New York,BRONX,2020/3/31,-50.9,-74.16,-51.76
Mar,New York,BROOKLYN,2020/3/31,-55.68,-80.77,-65.44
Mar,New York,MANHATTAN,2020/3/31,-81.72,-92.79,-92.58
Mar,New York,QUEENS,2020/3/31,-59.99,-83.04,-62.07
Mar,New York,STATEN ISLAND,2020/3/31,-52.85,-77.65,-43.94
Apr,New York,BRONX,2020/4/1,-50.14,-73.63,-48.65
Apr,New York,BROOKLYN,2020/4/1,-53.43,-80.98,-60.72
Apr,New York,MANHATTAN,2020/4/1,-81.56,-92.96,-92.39
Apr,New York,QUEENS,2020/4/1,-59.79,-83.04,-60.98
Apr,New York,STATEN ISLAND,2020/4/1,-51.22,-78.88,-36.25
Apr,New York,BRONX,2020/4/2,-50.67,-75.59,-49
Apr,New York,BROOKLYN,2020/4/2,-53.6,-81.8,-63.97
Apr,New York,MANHATTAN,2020/4/2,-81.72,-93.14,-92.47
Apr,New York,QUEENS,2020/4/2,-60,-84.1,-62.15
Apr,New York,STATEN ISLAND,2020/4/2,-50.8,-78.47,-36.41
Apr,New York,BRONX,2020/4/3,-47.07,-75.12,-49.83
Apr,New York,BROOKLYN,2020/4/3,-51.35,-82.11,-64.32
Apr,New York,MANHATTAN,2020/4/3,-80.18,-92.91,-92.55
Apr,New York,QUEENS,2020/4/3,-57.2,-84.28,-61.98
Apr,New York,STATEN ISLAND,2020/4/3,-46.48,-77.32,-38.97
Apr,New York,BRONX,2020/4/4,-52.4,-78.34,-51.2
