Date,Borough,count
20200812,Queen,2556
20200813,Bronx,382
20200813,Brooklyn,12156
20200813,Manhattan,47234
20200813,Queen,2655
20200814,Bronx,507
20200814,Brooklyn,17609
20200814,Manhattan,62054
20200814,Queen,3588
20200815,Bronx,537
20200815,Brooklyn,21219
20200815,Manhattan,66997
20200815,Queen,4031
20200816,Bronx,310
20200816,Brooklyn,7916
20200816,Manhattan,28872
20200816,Queen,1553
20200817,Bronx,443
20200817,Brooklyn,13517
20200817,Manhattan,53433
20200817,Queen,2965
20200818,Bronx,464
20200818,Brooklyn,16232
20200818,Manhattan,61580
20200818,Queen,3523
20200819,Bronx,484
20200819,Brooklyn,13884
20200819,Manhattan,54069
20200819,Queen,3030
20200820,Bronx,519
20200820,Brooklyn,16605
20200820,Manhattan,60827
20200820,Queen,3296
20200821,Bronx,604
20200821,Brooklyn,17752
20200821,Manhattan,62884
20200821,Queen,3574
20200822,Bronx,571
20200822,Brooklyn,19830
20200822,Manhattan,62778
20200822,Queen,3907
20200823,Bronx,504
20200823,Brooklyn,19042
20200823,Manhattan,58614
20200823,Queen,3641
20200824,Bronx,490
20200824,Brooklyn,13389
20200824,Manhattan,54130
20200824,Queen,3127
20200825,Bronx,481
20200825,Brooklyn,14082
20200825,Manhattan,54676
20200825,Queen,2828
20200826,Bronx,663
20200826,Brooklyn,17300
20200826,Manhattan,66489
20200826,Queen,3628
20200827,Bronx,614
20200827,Brooklyn,13237
20200827,Manhattan,52599
20200827,Queen,2863
20200828,Bronx,701
20200828,Brooklyn,15234
20200828,Manhattan,58967
20200828,Queen,3265
20200829,Bronx,564
20200829,Brooklyn,15673
20200829,Manhattan,52065
20200829,Queen,2985
20200830,Bronx,708
20200830,Brooklyn,20879
20200830,Manhattan,66679
20200830,Queen,4168
20200831,Bronx,680
20200831,Brooklyn,14458
20200831,Manhattan,57391
20200831,Queen,3136
20200901,Bronx,686
20200901,Brooklyn,15148
20200901,Manhattan,57636
20200901,Queen,3204
20200902,Bronx,662
20200902,Brooklyn,13558
20200902,Manhattan,53022
20200902,Queen,2756
20200903,Bronx,686
20200903,Brooklyn,13362
20200903,Manhattan,54384
20200903,Queen,2885
20200904,Bronx,877
20200904,Brooklyn,17236
20200904,Manhattan,63587
20200904,Queen,3639
20200905,Bronx,895
20200905,Brooklyn,20428
20200905,Manhattan,64331
20200905,Queen,3918
20200906,Bronx,933
20200906,Brooklyn,19167
20200906,Manhattan,59265
20200906,Queen,3641
20200907,Bronx,825
20200907,Brooklyn,18424
20200907,Manhattan,61017
20200907,Queen,3631
20200908,Bronx,861
20200908,Brooklyn,15255
20200908,Manhattan,59815
20200908,Queen,3305
20200909,Bronx,938
20200909,Brooklyn,15670
20200909,Manhattan,64477
20200909,Queen,3331
20200910,Bronx,573
20200910,Brooklyn,9403
20200910,Manhattan,40973
20200910,Queen,1958
20200911,Bronx,1037
20200911,Brooklyn,18461
20200911,Manhattan,71308
20200911,Queen,3838
20200912,Bronx,960
